Sponsor ID:,Name,Address,City,Phone,Website,3courses,examprep,hardcopy,professional appearance,underlying courseware
S0572,"LICENSE SOLUTION, INC.","2700 NEILSON WAY, SUITE 731","SANTA MONICA, CA 90405",(310) 396-7682,www.licensesolution.com,99,129,189,5,
S0410,REAL ESTATE EXPRESS A MCKISSOCK COMPANY,"12977 NORTH FORTY DRIVE, SUITE 108","SAINT LOUIS, MO 63141",(866) 739-7277,www.realestateexpress.com,122.5,,,5,
S0607,"THE CE SHOP, INC.","5670 GREENWOOD PLAZA BLVD., SUITE 420","GREENWOOD VILLAGE, CO 80111",(888) 827-0777,www.theceshop.com,129,,,5,
S0636,ONCOURSE LEARNING REAL ESTATE,20225 WATER TOWER BLVD 4TH FLOOR,"BROOKFIELD, WI 53045",(800) 532-7649,www.OnCourseLearning.com/real-estate,129,269,,5,oncourse
S0583,STAR MAX REAL ESTATE SCHOOL,"10681 E. FOOTHILL BLVD., SUITE 210","RANCHO CUCAMONGA, CA 91730",(626) 675-1989,www.starmaxschool.com,145,199,,5,
S0596,CA REALTY TRAINING,1849 SAWTELLE BLVD SUITE 740,"LOS ANGELES, CA 90025",(888) 317-8740,carealtytraining.com,155,,,5,
S0110,FIRST TUESDAY,PO BOX 5707,"RIVERSIDE, CA 92517",(951) 781-7300,www.firsttuesday.us,176.5,206.5,256.5,5,firsttuesday
S0184,"PREMIER SCHOOLS, INC.","10640 WOODBINE STREET, #101","LOS ANGELES, CA 90034",(310) 838-1000,www.premierschools.com,182.5,313.5,,5,
S0577,LUMBLEAU REAL ESTATE SCHOOL,23805 HAWTHORNE BLVD.,"TORRANCE, CA 90505",(877) 635-9944,http://www.lumbleau.com/,189,,,5,walt huber
S0363,"ONLINEED, INC.",7405 SW BEVELAND RD,"PORTLAND, OR 97223-8610",(503) 670-9278,www.onlineed.com,204,264,,5,
S0625,REAL ESTATE VIDEO EDUCATIONAL INSTITUTE,1411 NORTH BATAVIA ST #215,"ORANGE, CA 92867",(800) 582-7979,www.revei.com,250,65,350,5,
S0164,NATIONAL LICENSE SERVICES,"25109 JEFFERSON AVE, SUITE 110","MURRIETA, CA 92562",(951) 698-6363,www.nationallicenseservices.com,270,,,5,
S0593,FIRST TEAM UNIVERSITY,"108 PACIFICA, SUITE 300","IRVINE, CA 92618",(949) 988-3003,www.firstteam.com,300,300,,5,dearborn
S0338,CHARLIE KRACKELER PRESENTS...,150 W EDITH AVE. STE 44,"LOS ALTOS, CA 94022-2721",(650) 285-7200,www.charliekrackeler.com,338,,,5,
S0204,REAL ESTATE TRAINERS,2121 S. TOWNE CENTRE PL. SUITE 100,"ANAHEIM, CA 92806",(800) 282-2352,www.retrainersca.com,349,,,5,
S0082,"CHAMBERLIN REAL ESTATE SCHOOL, INC",1825 WINCHESTER BLVD.,"CAMPBELL, CA 95008",(408) 378-4400,www.reschool.com,350,,,5,chamberlain
S0310,SIMI INSTITUTE FOR CAREERS AND EDUCATION,1880 BLACKSTOCK AVENUE,"SIMI VALLEY, CA 93065",(805) 579-6200,www.simiinstitute.org,350,,,5,
S0613,BRIGHTWOOD COLLEGE,"332 FRONT STREET SOUTH, SUITE 555","LA CROSSE, WI 54601",(608) 779-5599,www.kapre.com,399,,,5,
S0086,COLLEGE OF THE REDWOODS,525 D STREET,"EUREKA, CA 95501",(707) 476-4500,www.redwoods.edu/departments/community-ed/realestate.asp,NA,,,5,
S0549,PRAEDO INSTITUTE,"42 NORTH 200 EAST, SUITE 3","AMERICAN FORK, UT 84003",(801) 492-9933,www.praedo.com,NA,,,5,oncourse
S0341,TRINH COLLEGE,"1939 MONTEREY ROAD, SUITE 2","SAN JOSE, CA 95112",(408) 999-0446,cosmotekcollege.com,NA,,,5,
S0579,CALIFORNIA SCHOOL OF REAL ESTATE,"3160 CASTRO VALLEY BLVD., #231","CASTRO VALLEY, CA 94546",(800) 877-7008,http://www.easy2pass.com,139,Included,40,4,
S0209,"THE REALTY INSTITUTE, LLC","2086 SOUTH E STREET, SUITE 100","SAN BERNARDINO, CA 92408",(909) 872-1933,www.realtyinst.com,165,230,,4,
S0591,"CES REAL ESTATE SCHOOL, INC.","2089 VALE ROAD, SUITE 24","SAN PABLO, CA 94806",(877) 237-1777,https://www.cesrealestateschool.com/online-course-package-ebook,179,,,4,prou
S0639,ALLIED REAL ESTATE SCHOOLS,22952 ALCALDE DRIVE,"LAGUNA HILLS, CA 92653",() -,www.alliedschools.com/realestatelicense.com,188,,,4,
S0357,KEY REALTY SCHOOL,3650 EAST FLAMINGO RD,"LAS VEGAS, NV 89121",(800) 472-3893,www.keyrealtyschool.com,199,,,4,
S0462,A STEP AHEAD SCHOOL OF REAL ESTATE,"1034 EMERALD BAY ROAD, #433","SOUTH LAKE TAHOE, CA 96150",(888) 544-4403,licensemasters.com,247,,,4,
S0571,NRE SCHOOLS,"6850 LINCOLN AVE., SUITE 200","BUENA PARK, CA 90620",(888) 314-8498,www.nationwidestudents.com,249,,,4,
S0218,ROCKWELL INSTITUTE,13218 NE 20TH STREET,"BELLEVUE, WA 98005",(800) 221-9347,www.rockwellinstitute.com,269,,,4,
S0023,AMERICA WEST SCHOOL OF REAL ESTATE,"9100 MING AVE., SUITE #107","BAKERSFIELD, CA 93311",(661) 334-4000,www.realestatelicenseprep.com,295,,Yes,4,
S0604,PEAK REAL ESTATE ACADEMY,11011 BALBOA BLVD.,"GRANADA HILLS, CA 91344",(818) 363-1717,www.peakrealestateacademy.com,350,,,4,
S0156,"MIKE RUSS FINANCIAL TRAINING CENTERS, INC.","8322 CLAIREMONT MESA BOULEVARD, #103","SAN DIEGO, CA 92111-1317",(800) 724-5661,www.mikeruss.org,399,,,4,
S0635,"KW REAL ESTATE SCHOOLS, INC.","13400 SABRE SPRINGS PARKWAY, SUITE 100","SAN DIEGO, CA 92128",(858) 329-0999,www.kwrealestateschools.com,599,,,4,dearborn
S0634,ACCESS LICENSE SCHOOLS,1439 SHORE STREET,"WEST SACRAMENTO, CA 95691",(916) 572-0763,www.accesslicense.com,99,99,249,3,
S0123,GOLDEN HYDE REAL ESTATE CENTER,"1168 SAN GABRIEL BOULEVARD, SUITE J","ROSEMEAD, CA 91770",(626) 571-0751,www.goldenhyde.com,140,55,90,3,
S0011,"ACCREDITED REAL ESTATE SCHOOLS, INC.","5006 SUNRISE BLVD., #101","FAIR OAKS, CA 95628",(916) 966-9300,www.accreditedschools.com,169,219,,3,
S0375,STUDYLICENSE REAL ESTATE SCHOOL,"1943 20TH STREET, #A","SANTA MONICA, CA 90404",(310) 399-2538,www.studylicense.com,171,,,3,
